id,name,ig_followers,ig_handle,category,subcategory
32031,Priyanka Chopra,92338746,priyankachopra,Arts,"Acting, Pro (TV / Series)"
32015,Alia Bhatt,86298528,aliaabhatt,Arts,"Acting, Pro (TV / Series)"
32020,Katrina Kaif,80225760,katrinakaif,Arts,"Acting, Pro (TV / Series)"
32053,Deepika Padukone,80090045,deepikapadukone,Arts,"Acting, Pro (TV / Series)"
6494,Neha Kakkar,78265107,nehakakkar,Arts,Music & Singing
32161,Jacqueliene Fernandez,70673546,jacquelienefernandez,Arts,"Acting, Pro (TV / Series)"
30800,Salman Khan,70092833,beingsalmankhan,Arts,"Acting, Pro (TV / Series)"
32063,Anushkasharma,69265676,anushkasharma,Arts,"Acting, Pro (TV / Series)"
31993,Akshay Kumar,66911772,akshaykumar,Arts,"Acting, Pro (TV / Series)"
31628,Disha Patani,61364491,dishapatani,Arts,"Acting, Pro (TV / Series)"
32054,Kriti Sanon,58473785,kritisanon,Arts,"Acting, Pro (TV / Series)"
43058,Sachin Tendulkar,50794497,sachintendulkar,Sports,Professional: Team Sports
12226,Jannat Zubair Rahmani,49835043,jannatzubair29,Arts,"Acting, Pro (TV / Series)"
8812,M S Dhoni,49799668,mahi7781,Sports,Professional: Team Sports
32237,Shah Rukh Khan,47980908,iamsrk,Arts,"Acting, Pro (TV / Series)"
32043,Hrithik Roshan,47728032,hrithikroshan,Arts,"Acting, Pro (TV / Series)"
22397,Nora Fatehi,47258444,norafatehi,Arts,"Acting, Pro (TV / Series)"
32012,Varundhawan,46457096,varundvn,Arts,"Acting, Pro (TV / Series)"
31627,Rashmika Mandanna,46086181,rashmika_mandanna,Arts,"Acting, Pro (TV / Series)"
28118,Sara Ali Khan,45538288,saraalikhan95,Arts,"Acting, Pro (TV / Series)"
13880,Surbhi Jyoti,10365246,surbhijyoti,Arts,"Acting, Pro (Movies)"
7475,Abhishek Malhan,10345617,fukra_insaan,Arts,Music & Singing
27637,B Praak,10334391,bpraak,Arts,Music & Singing
23348,Nawazuddin Siddiqui,10211270,nawazuddin._siddiqui,Arts,"Acting, Pro (TV / Series)"
28103,Nuupur Sannon,10059840,nupursanon,Arts,"Acting, Pro (TV / Series)"
50516,Karan Aujla,9932334,karanaujla,,
22263,Vidya Balan,9907242,balanvidya,Arts,"Acting, Pro (TV / Series)"
22005,Sangram U Singh,9890667,sangramsingh_wrestler,Sports,Professional: Individual Sports
14612,Adah Sharma,9841538,adah_ki_adah,Arts,"Acting, Pro (TV / Series)"
5680,Ashnoor Kaur,9837840,ashnoorkaur,Arts,"Acting, Pro (TV / Series)"
32056,Bhumi Pednekar,9625604,bhumipednekar,Arts,"Acting, Pro (TV / Series)"
32191,Neeraj Chopra,9493259,neeraj____chopra,Sports,Professional: Individual Sports
6562,Sargun Mehta,9323817,sargunmehta,Arts,"Acting, Pro (TV / Series)"
27636,Jassie Gill,8971192,jassie.gill,Arts,Music & Singing
25119,𝑆𝑢𝑛𝑎𝑛𝑑𝑎 𝑆ℎ𝑎𝑟𝑚𝑎,8943677,sunanda_ss,Arts,"Acting, Pro (TV / Series)"
42863,Mahira Sharma,8919221,mahirasharma,Arts,"Acting, Pro (TV / Series)"
6608,Tara Sutaria,8846062,tarasutaria,Arts,"Acting, Pro (TV / Series)"
24285,Karishma K Tanna,8825228,karishmaktanna,Arts,"Acting, Pro (TV / Series)"
31867,Krithi Shetty,8816796,krithi.shetty_official,Arts,"Acting, Pro (TV / Series)"
24397,Prajakta Koli,8810939,mostlysane,Arts,"Acting, Pro (TV / Series)"
12842,Sania Mirza,13051782,mirzasaniar,Sports,Professional: Individual Sports
27876,Manisha Rani,13023183,manisharani002,Arts,"Acting, Pro (TV / Series)"
32199,Vijay,12974080,actorvijay,Arts,"Acting, Pro (TV / Series)"
32166,Shreyas Iyer,12821353,shreyasiyer96,Sports,Professional: Team Sports
6635,Raghav Juyal,12551871,raghavjuyal,Arts,"Acting, Pro (TV / Series)"
31990,Abhishek Bachchan,12394648,bachchan,Arts,"Acting, Pro (TV / Series)"
10298,Smriti Mandhana,12243782,smriti_mandhana,Sports,Professional: Team Sports
22404,Sreeleela,12123620,sreeleela14,Arts,"Acting, Pro (TV / Series)"
32243,Arijit Singh,11860756,arijitsingh,Arts,Music & Singing
31687,The Great Khali,11605209,thegreatkhali,Sports,Professional: Individual Sports
31970,Jubin Nautiyal,11590883,jubin_nautiyal,Arts,Music & Singing
15857,Himanshi Khurana,11532202,iamhimanshikhurana,Arts,"Acting, Pro (TV / Series)"
42997,Ed Westwick,11333624,edwestwick,Arts,"Acting, Pro (TV / Series)"
6587,Siddharth Nigam,11292716,thesiddharthnigam,"Acting, Pro (TV / Series)",
22380,Mohammed Siraj,11287672,mohammedsirajofficial,Sports,Professional: Team Sports
9307,Sameeksha Sud,11282655,sameeksha.sud_,Arts,"Acting, Pro (Movies)"
2039,𝐍itanshi Goel,10833314,nitanshigoelofficial,Arts,"Acting, Pro (TV / Series)"
43053,Sanju V Samson,10694074,imsanjusamson,Sports,Professional: Team Sports
31976,Yuzvendra Chahal,10684986,yuzi_chahal23,Sports,Professional: Team Sports
30956,Sanjay Dutt,10470878,duttsanjay,Arts,"Acting, Pro (TV / Series)"
32060,Ayushmann Khurrana,17586087,ayushmannk,Arts,"Acting, Pro (TV / Series)"
31955,Karan Johar,17540451,karanjohar,Arts,Film-making & Cinematography
8984,Shakti Mohan,17478709,mohanshakti,Arts,Professional Dancing
24167,Ashish Chanchlani,17266099,ashishchanchlani,Entertainment,Fun-Content
47968,Elvish Raosahab,16759505,elvish_yadav,Entertainment,Singing & Music Videos
31995,Arjun Kapoor,16106460,arjunkapoor,Arts,"Acting, Pro (TV / Series)"
8927,Rakhi Sawant,15309568,rakhisawant2511,Arts,"Acting, Pro (TV / Series)"
31997,Dulquer Salmaan,15193859,dqsalmaan,Arts,"Acting, Pro (TV / Series)"
9608,Rishabh Pant,14908629,rishabpant,Sports,Professional: Team Sports
32160,Mika Singh,14884145,mikasingh,Arts,Music & Singing
30715,Badshah,14847127,badboyshah,Arts,Music & Singing
9530,Genelia Deshmukh,14459393,geneliad,Arts,"Acting, Pro (TV / Series)"
16380,Mrunal Thakur,14332734,mrunalthakur,Arts,"Acting, Pro (TV / Series)"
48357,Silambarasan Tr,14190272,silambarasantrofficial,Arts,"Acting, Pro (TV / Series)"
22391,Bipasha Basu,14091457,bipashabasu,Arts,"Acting, Pro (TV / Series)"
15745,Sonam Bajwa,13932658,sonambajwa,Arts,"Acting, Pro (TV / Series)"
8335,Armaan Malik,13893224,armaanmalik,Arts,Music & Singing
