id,name,ig_followers,ig_handle,category,subcategory
32031,Priyanka Chopra,92397745,priyankachopra,Arts,"Acting, Pro (TV / Series)"
32015,Alia Bhatt,86234041,aliaabhatt,Arts,"Acting, Pro (TV / Series)"
32020,Katrina Kaif,80223009,katrinakaif,Arts,"Acting, Pro (TV / Series)"
32053,Deepika Padukone,80153864,deepikapadukone,Arts,"Acting, Pro (TV / Series)"
6494,Neha Kakkar,78265107,nehakakkar,Arts,Music & Singing
32161,Jacqueliene Fernandez,70931668,jacquelienefernandez,Arts,"Acting, Pro (TV / Series)"
30800,Salman Khan,70141872,beingsalmankhan,Arts,"Acting, Pro (TV / Series)"
32063,Anushkasharma,69192035,anushkasharma,Arts,"Acting, Pro (TV / Series)"
31993,Akshay Kumar,66911772,akshaykumar,Arts,"Acting, Pro (TV / Series)"
31628,Disha Patani,61350152,dishapatani,Arts,"Acting, Pro (TV / Series)"
32054,Kriti Sanon,58504678,kritisanon,Arts,"Acting, Pro (TV / Series)"
43058,Sachin Tendulkar,50709119,sachintendulkar,Sports,Professional: Team Sports
8812,M S Dhoni,49796883,mahi7781,Sports,Professional: Team Sports
12226,Jannat Zubair Rahmani,49777926,jannatzubair29,Arts,"Acting, Pro (TV / Series)"
32237,Shah Rukh Khan,47974858,iamsrk,Arts,"Acting, Pro (TV / Series)"
32043,Hrithik Roshan,47686721,hrithikroshan,Arts,"Acting, Pro (TV / Series)"
22397,Nora Fatehi,47374964,norafatehi,Arts,"Acting, Pro (TV / Series)"
32012,Varundhawan,46476893,varundvn,Arts,"Acting, Pro (TV / Series)"
31627,Rashmika Mandanna,46060105,rashmika_mandanna,Arts,"Acting, Pro (TV / Series)"
8957,Kapil Sharma,45838591,kapilsharma,Arts,"Acting, Pro (TV / Series)"
22409,Krutika,8284579,themermaidscales,Comedy & Memes,Funny Shorts
43049,Arjun Bijlani,8225443,arjunbijlani,Arts,"Acting, Pro (Movies)"
31969,Tony Kakkar,8201891,tonykakkar,Arts,Music & Singing
24371,Nishaguragain,8196800,iamnishaguragain,Fashion,Style & Grooming
32032,Sobhita,8194286,sobhitad,Arts,"Acting, Pro (TV / Series)"
12310,Nia Sharma,8176076,niasharma90,Arts,"Acting, Pro (Movies)"
24203,Daisy,8149986,shahdaisy,Arts,"Acting, Pro (TV / Series)"
32027,Twinkle Khanna,8064803,twinklerkhanna,Arts,"Acting, Pro (TV / Series)"
47405,Ankit Singh,8061890,ankit_baiyanpuria,Fitness,Training & Fitness
24431,Rajkummar Rao,8050758,rajkummar_rao,Arts,"Acting, Pro (TV / Series)"
6452,Khushi Choudhary,8048313,khushi.vivekchoudhary,"Family, Kids & Pets",Family / Couple Vlogs 
50508,Sara Tendulkar,8018510,saratendulkar,Lifestyle & Living,Personal Vlogs
12264,Shirley Setia,7982213,shirleysetia,Arts,"Acting, Pro (TV / Series)"
11066,Vidyut Jammwal,7946541,mevidyutjammwal,Arts,"Acting, Pro (TV / Series)"
30862,𝗚𝗶𝗽𝗽𝘆 𝗚𝗿𝗲𝘄𝗮𝗹,7946530,gippygrewal,Arts,"Acting, Pro (TV / Series)"
7688,Nagma Mirajkar,7944934,nagmamirajkar,Arts,"Acting, Pro (TV / Series)"
25118,Sunil Chhetri,7921353,chetri_sunil11,Sports,Professional: Team Sports
53508,Chanchal Charan,7917369,ichanchalcharan,Entertainment,Fun-Content
42877,Abduroziq Official,7905685,abdu_rozik,Entertainment,Fun-Content
32065,Vaani Kapoor,7872445,vaanikapoor,Arts,"Acting, Pro (TV / Series)"
27823,Neeraj Sharma,1078402,ti.psss,Tech,"Software & App: Tips, Hacks & Reviews"
43353,Raj Choudhary,1078154,rajchoudhary_upcomingworld,Tech,"Software & App: Tips, Hacks & Reviews"
12100,Shivshakti Sachdev,1077862,iamshivshakti,Beauty,Skin-Care
8043,Aaryaveer Singh,1077158,aaryaveer__singh,Fashion,Style & Grooming
11053,Mj5,1075856,mj5_official,Arts,Professional Dancing
49009,Aparupa Dey,1075448,aparupa.dey,Photography / Videography,Wildlife & Animal Photography
5649,Nitibha Kaul,1074977,nitibhakaul,Beauty,Makeup & Cosmetics
24270,Jiya Khan,1074278,jiyakhan2230,Entertainment,Fun-Content
54337,Lavesh Gurjar,1074265,lavesh__14,Entertainment,Fun-Content
24714,Akash Jadhav,1073764,akya_jadhav01,Entertainment,Fun-Content
42728,Nimisha Bindu Sajayan,1073184,nimisha_sajayan,Arts,"Acting, Pro (TV / Series)"
28540,Divya Chaudhary,1072457,thedivyachaudhary,Arts,Music & Singing
21785,Balraj Syal,1072308,balrajsyal,Arts,"Acting, Pro (TV / Series)"
32529,Naughty Society,1071082,_naughtysociety,Comedy & Memes,Viral & Memes
8931,Aishwarya Majmudar,1071073,aishwarya_tm,Arts,Music & Singing
9570,Akanksha Sharma,1071001,akanksharmaa,Arts,"Acting, Pro (TV / Series)"
32530,Laughculture,1070555,laughculture,Comedy & Memes,Viral & Memes
40984,Siddhu Jonnalagadda,1069534,siddu_buoy,Arts,Film-making & Cinematography
10977,Abdul Basim Nalakath,1069259,basims_plate,Food ,Food Reviews
22154,Ria Amin,1068879,theriaaminnn,Beauty,
23085,Vidur Dhar,58964,vidur_dhar,Lifestyle & Living,Personal Vlogs
15156,Ruby,58964,raisingtweenntot,"Family, Kids & Pets",Family / Couple Vlogs 
7003,Anshika Soni,58957,anshika_soni2798,Beauty,Makeup & Cosmetics
45377,Du Updates,58947,duupdates,Comedy & Memes,Viral & Memes
21290,Nilakhii,58928,nilam_swain,Beauty,Style & Grooming
51689,Pooja Gujjar,58927,poojaroy3439,Entertainment,Singing & Music Videos
6893,Chirag Shivhare,58917,chirag._.shivhare,Lifestyle & Living,Personal Vlogs
49902,Raja,58905,iamrk_official555,Arts,"Acting, Pro (Movies)"
630,Anjali Wadhwa,58902,glamourholicanjali,Lifestyle & Living,Personal Vlogs
3946,Jay Kartik,58895,jaykartik777,Arts,"Acting, Pro (TV / Series)"
10459,Dimpy Munparia,58894,dimpy.munparia,Beauty,Makeup & Cosmetics
7544,Shradha,58882,__allaboutlifestyle_merapitara,Home & Decor,Interiors
2630,Kumi Rajput,58878,kumi_rajput4,Lifestyle & Living,Personal Vlogs
48863,Priyanka Sanket Shah,58872,priyankasanketshah,Lifestyle & Living,Personal Vlogs
40419,Aishwarya Daggubati,58870,aishwarya_daggubati,Arts,"Acting, Pro (TV / Series)"
3918,Bhavesh Mehta,58869,jhakaasflavoursofmumbai,Food ,Food Reviews
11877,Jas Kaur,58868,taste_a_bit,Food ,Food Reviews
5754,Smriti Thakur,58858,smritithakur21,Beauty,Skin-Care
23648,Nikhil Sidhwani,58855,nikhilismofficial,Arts,"Acting, Pro (Movies)"
32424,Ippavae Kanna Kattudhe,58854,ippavae_kanna_kattudhe,Comedy & Memes,Viral & Memes
545,Nabz Siddiqui,58847,blush_with_bibs,Lifestyle & Living,Personal Vlogs
1765,Vini Mehta,58839,viniscookbook,Food ,Cooking & Recipes
49444,Indian Vlogger Pinki,58839,indian_vlogger_pinki,Lifestyle & Living,Personal Vlogs
627,Aanchu,58837,itsaanchu_2207,Lifestyle & Living,Personal Vlogs
54349,Newlogic Bhojpuri,58820,nlg_bhojpuri,Comedy & Memes,Viral & Memes
5806,Saha Revo,58813,saha.revo,Home & Decor,Real-Estate / Homes
6901,Wordsthatineversaid,58791,wordsthatineversaid,Arts,Creative Writing & Story-Telling
43956,Tasneem,58791,forevertasneem,Lifestyle & Living,Product Reviews / Shopping
2959,Pranali,58780,pranali_chaudhary_005,,
51681,Vicky Singh Rajput,58776,7seven_lucifer,Comedy & Memes,Viral & Memes
46771,Maddy,58768,tonedyogini,Fitness,Yoga
931,Anchalk,58761,anchalk__,Beauty,Makeup & Cosmetics
27097,Dutta Pari,58757,duttapari123,"Family, Kids & Pets",Family / Couple Vlogs 
10785,Bhavesh Bhati,58729,bhavesh_bhai1557,Entertainment,Singing & Music Videos
2997,Er. Krutika Patel,58728,krutika.nasit,Lifestyle & Living,Personal Vlogs
53585,Mehul Chudasama Koli,58717,mehul_l07,Comedy & Memes,Viral & Memes
53532,Vivek Talar,58713,vivekkk_.yt,Entertainment,Fun-Content
2976,Sonal Somani,58704,sonalsomaniofficial,Lifestyle & Living,Personal Vlogs
54421,Bollywood Gallary,58694,gallarybollywood,"News, Media & Magazines",Entertainment
50405,Radhica Diwan,58692,radhica_diwan,Fashion,Style & Grooming
51494,Microsoft India And South Asia,58691,microsoftindia,Comedy & Memes,Viral & Memes
51406,Thefloralbanner,58688,thefloralbanner_luxe,Fashion,Style & Grooming
26621,Vasudha Sharma,58688,vasudhasharma2,Entertainment,Fun-Content
26680,Prakash Sikder,58677,prakash_sikder,Arts,Professional Dancing
767,Kamlesh,58675,kamstheblessedmumma,"Family, Kids & Pets",Family / Couple Vlogs 
15015,Jhumki,58671,that_neon_girl,"Family, Kids & Pets",Family / Couple Vlogs 
9409,Parul Duggal,58667,parulduggalmakeupartist,Beauty,Makeup & Cosmetics
16213,Chandni,58665,moraltalks1,Lifestyle & Living,Personal Vlogs
53710,Nikkuu,58649,nikkuuuu.______,Lifestyle & Living,Personal Vlogs
32905,Nagpur Lovers Official,58647,nagpur_lovers,Community Pages,City-focused Content
3736,Swati,58647,curvy__style23,Lifestyle & Living,Personal Vlogs
6218,Vishal Jugraj Mehta,58644,vishaljmehta,Lifestyle & Living,Personal Vlogs
39654,Rashmi Amit Malhotra,58643,mrs_gennie_,Lifestyle & Living,Personal Vlogs
21594,𝑨𝒂𝒓𝒕i,58640,gazzlingdiva,Lifestyle & Living,Personal Vlogs
5724,Shabnam Arora,58632,iam_shabnam_arora,Lifestyle & Living,Product Reviews / Shopping
21423,Moumita,58631,moumita0904,Lifestyle & Living,Personal Vlogs
48592,Aniket D Kamble,58630,ani_deadlifts,Fitness,Training & Fitness
54000,Ramya Chandan,58621,kushiyagiramya,Lifestyle & Living,Personal Vlogs
53163,Priyanka,58615,mooninkarts,Arts,Sketching & Painting
42102,Aadhavan Dhaya,58604,aadhavandhayaa,Entertainment,Fun-Content
13028,Rupali Jain,58591,rupalijain73,Lifestyle & Living,Personal Vlogs
48597,Tanishk Mahajan,58590,whotanishk,Fitness,Training & Fitness
13199,Priyanka Chaturvedi,58583,priyanka_chaturvedi1,Beauty,Skin-Care
8308,Nimit Kotian,58573,nimitkotian,Arts,Professional Dancing
11677,Rashmi Srivastava,58567,chefbychancee,Food ,Food Reviews
23680,Vikram Sathaye,58565,vikramsathaye,Entertainment,Fun-Content
14401,Ashwini Sharma,58549,ashwiniisharmaa,Beauty,Makeup & Cosmetics
3874,Bharat Sadana,58531,liftwithbharat,Fitness,Training & Fitness
53492,Vkey Gudgaame Aala,58529,iamvkey_,Arts,Music & Singing
45403,Rosy Mehra,58516,therosymehra,Lifestyle & Living,Personal Vlogs
11670,Bindu Bhargavi,58512,bindu_nuthakiy,,
10956,Eniyavanidly,58511,eniyavanidly,Lifestyle & Living,Personal Vlogs
646,Sohel Saiyed,58501,filmi_boy_sohel,Entertainment,Fun-Content
16408,Natasha,58495,nats_getliving,Lifestyle & Living,Personal Vlogs
9297,Shivangi Anand,58494,shiivii_01,Lifestyle & Living,Personal Vlogs
10102,Yashika,58488,thevoguetrend,Fashion,Style & Grooming
