id,name,ig_followers,ig_handle,category,subcategory
32477,Sarcasm,11003768,sarcastic_us,Comedy & Memes,Viral & Memes
32262,Trolls Official,10967614,trolls_official,Comedy & Memes,Viral & Memes
31864,Memes And Movies Account,9540755,netflixnmovies,Comedy & Memes,Viral & Memes
16062,Ghantaa,8893120,ghantaa,Comedy & Memes,Viral & Memes
32478,The Adult Society,7465018,adultsociety,Comedy & Memes,Viral & Memes
32479,Log Kya Sochenge,5769401,log.kya.sochenge,Comedy & Memes,Viral & Memes
32255,Laughter Colours,4439222,laughtercolours,Comedy & Memes,Viral & Memes
48490,Motivational Thoughts,4327409,motivation_line_,"News, Media & Magazines",Feel-Good News / Stories
32481,Yahi Milenge Saare Content,3993819,aawww_cute,Comedy & Memes,Viral & Memes
32261,Archit Madaan,3761400,theindiansarcasm,Comedy & Memes,Viral & Memes
48440,Error 69,3425550,error69,"News, Media & Magazines",Lifestyle & Culture
32483,Dekhbhai,3291713,dekhbhai,Comedy & Memes,Viral & Memes
32486,Epic Media,3210181,_epic69,Comedy & Memes,Viral & Memes
32484,𝐓𝐡𝐞 𝐉𝐮𝐬𝐭 𝐁𝐞𝐧𝐜𝐡𝐞𝐫𝐬,3002907,thejustbenchers,Comedy & Memes,Viral & Memes
32517,Flirting Lines,2879047,flirting.lines,Comedy & Memes,Viral & Memes
32257,Fuddu Sperm️,2787757,fuddu_sperm,Comedy & Memes,Viral & Memes
32488,Be Harami,2701590,be_harami,Comedy & Memes,Viral & Memes
32485,Troll Fuckers,2687258,trollfuckers,Comedy & Memes,Viral & Memes
8973,Filmygags Memes,2645276,filmygags,Comedy & Memes,Viral & Memes
32487,Logkyakahenge,2610653,log.kya.kahenge,Comedy & Memes,Viral & Memes
32500,Love School Memes,2460699,_love_school_,Comedy & Memes,Viral & Memes
48437,Filmy Trollz,2410269,filmytrollz,"News, Media & Magazines",Lifestyle & Culture
32338,Epic Postu,2401445,epicpostu,Comedy & Memes,Viral & Memes
32495,Girlzfactsofficial -facts | Pranjal Hemnani,2330970,girlzfactsofficial,Comedy & Memes,Viral & Memes
32256,Adultfamily Official,2318458,adultfamily,Comedy & Memes,Viral & Memes
32493,Chutiyapa,2268582,chutiyapa_overdose,Comedy & Memes,Viral & Memes
32494,Just Lol Things,2202146,just.lol.things,Comedy & Memes,Viral & Memes
32499,School Days | Azeem Ahmed,2137165,school.days__,Comedy & Memes,Viral & Memes
