id,name,ig_followers,ig_handle,category,subcategory,location
1602,Sohel Sha,89274,sohelridersha_56,Lifestyle & Living,Personal Vlogs,Adilabad
22198,Anjali Sarvani,53113,anjalisarvani.k,Sports,Professional: Team Sports,Adoni
9546,Akash Pal,1139770,technical_sky,Tech,"Software & App: Tips, Hacks & Reviews",Agartala
49846,Arisha Roy Chowdhury,308402,anniroyc,Entertainment,Singing & Music Videos,Agartala
21260,Mr & Mrs Deb,203424,comedy_couple007,Comedy & Memes,Funny Shorts,Agartala
44681,Manorama Reang,180448,call_me_maphui_mona,Entertainment,Entertaining Dance Videos,Agartala
49883,Anirban Bhowmik,118870,funholicanirban,Entertainment,Fun-Content,Agartala
4880,Hamjakma Reang,109909,hamjakmareangmusic,Entertainment,Singing & Music Videos,Agartala
33467,Rumi Murasing,97175,rumimurasing,Entertainment,Fun-Content,Agartala
42898,Dipa Karmaka,70816,dipakarmakarofficial,Sports,Professional: Individual Sports,Agartala
28865,Sourabhee Debbarma,63985,sourabheedebbarmasb,Arts,Music & Singing,Agartala
738,Priya Das,48206,priya_das.01,Food ,Food Reviews,Agartala
46511,Puspita Murasing,34830,puspita_murasing,Lifestyle & Living,Personal Vlogs,Agartala
33468,Christina Debbarma,34112,christina.jd,Entertainment,Fun-Content,Agartala
46332,Moumita Singha,33212,moumita_singha__,Lifestyle & Living,Personal Vlogs,Agartala
33461,𝘏𝘢𝘮𝘢𝘳𝘪 𝘑𝘢𝘮𝘢𝘵𝘪𝘢,32457,h.b.rjam,Lifestyle & Living,Product Reviews / Shopping,Agartala
16610,Para,26496,para.sf.withlove,Entertainment,Fun-Content,Agartala
20794,Payel Saha,22049,payelsaha482,Beauty,Skin-Care,Agartala
16741,Aichwk Deb Barman,16113,er_aichwk_debbarma,Lifestyle & Living,Personal Vlogs,Agartala
4824,Saurav Deb,16113,saurav__deb,Automotive,Bike Enthusiast,Agartala
5037,Anamika Debnath,13388,beautyandlifestylemantra,Lifestyle & Living,Personal Vlogs,Agartala
21337,Chiranjit Biswas,12013,chiranjit6337,Entertainment,Info-tainment,Agartala
5020,Aakash Chopra,3354342,cricketaakash,Sports,Professional: Team Sports,Agra
45499,Piyush Malhotra,2007748,piyushm0022,Tech,Gadget Reviews & Unboxing,Agra
20951,Aman Bhadouria,1282719,amanbhadouriaa,Travel & Places,Travel & Food Photography,Agra
24526,Shriya Jain,933518,iamshriyajain,Arts,Music & Singing,Agra
47059,Harman Singh,790463,hustlewithharman,Learning,Personal-Development,Agra
11304,Rahul Chahar,715621,rdchahar1,Sports,Professional: Team Sports,Agra
4309,Sonal Singh,688617,imsonal24,Lifestyle & Living,Personal Vlogs,Agra
22166,Deepti Sharma,524897,officialdeeptisharma,Sports,Professional: Team Sports,Agra
5448,Sayra Malik,510546,sayra_malik07,Entertainment,Singing & Music Videos,Agra
47699,Akshita Mudgal,372683,akshitamudgal,Arts,"Acting, Pro (Movies)",Agra
29477,Nucleya,371297,nucleya,Arts,Music & Singing,Agra
23728,Virat Raghav,312324,gareebpanda,Food ,Food Reviews,Agra
13288,Suraj Chaudhary,254132,i_am_suraj81,Lifestyle & Living,Personal Vlogs,Agra
38239,Yash Sagar,242670,yash_lovee,Comedy & Memes,Funny Shorts,Agra
46602,Shruti Agarwal,213865,shrutiagarwal11214,Entertainment,Entertaining Dance Videos,Agra
40243,Naina Rohan Kapoor,166464,nainananda1,"Family, Kids & Pets",Family / Couple Vlogs ,Agra
27423,𝗦𝗔𝗡𝗦𝗞𝗔𝗥,159623,iamsanskarsharma,Lifestyle & Living,Personal Vlogs,Agra
20396,Ritu,153828,ritzzy_28,Lifestyle & Living,Personal Vlogs,Agra
25110,Dhanishtha Khullar,128269,a_tastetour,Travel & Places,City-focused Content,Agra
44689,Monika Srivastava,123243,cutelifewithmona,Entertainment,Singing & Music Videos,Agra
14674,Helly Shah,4250111,hellyshahofficial,Arts,"Acting, Pro (Movies)",Ahmedabad
9668,Nayab,2307692,nayab.midha,Arts,Creative Writing & Story-Telling,Ahmedabad
11158,Jay Bhanushali,2224336,ijaybhanushali,Arts,"Acting, Pro (Movies)",Ahmedabad
31642,Pathan Mufazzal,1838258,muffyyyy_09_,Entertainment,Fun-Content,Ahmedabad
27890,Jb,1794828,jankibodiwala,Arts,"Acting, Pro (TV / Series)",Ahmedabad
4,Sid Prajapati,1525653,_spindia_,Entertainment,Fun-Content,Ahmedabad
37828,Vaishali Mishra,1499462,vaishali_and_anand,Entertainment,Fun-Content,Ahmedabad
32196,Aditya Gadhvi,1493213,adityagadhviofficial,Arts,Music & Singing,Ahmedabad
42195,Dev Raval,1346571,dev_ravall,Comedy & Memes,Funny Shorts,Ahmedabad
50351,Rahul Sharma,1301493,rise_with_rahul,Business & Startups,Small Business Tips & Hacks,Ahmedabad
16283,Pooja A Gor,1244750,poojagor,Arts,"Acting, Pro (Movies)",Ahmedabad
46237,Kalpesh Bharwad,1159909,ig.kalpo,Entertainment,Fun-Content,Ahmedabad
18546,Raj Panchal,1140200,rajpanchalofficial,Lifestyle & Living,Personal Vlogs,Ahmedabad
21743,Jesus Mehta,1129672,jesusmehta,Arts,Music & Singing,Ahmedabad
42687,Shiny K Doshi,1096731,shinydoshi15,Arts,"Acting, Pro (Movies)",Ahmedabad
21691,Leena Jumani,1064770,leena_real,Arts,"Acting, Pro (TV / Series)",Ahmedabad
11044,Aditi Raval,1035577,aditiraval,Travel & Places,Backpacking & Biking,Ahmedabad
32996,Zeeshan Khan,971113,theonlyzeeshankhan,Arts,"Acting, Pro (TV / Series)",Ahmedabad
28127,Dr Mitali,970167,dr.uterus,Health,Women Wellness / Pregnancy,Ahmedabad
24737,Prem Shilu,955865,premshilu_,Comedy & Memes,Funny Shorts,Ahmedabad
41693,Sunny Singh,17699,foodie.sunny,Food ,Food Reviews,Airoli
20695,Akash Munfan,640695,choreographer_akash,Arts,"Acting, Pro (Movies)",Ahmednagar
41114,Nilesh Vairagar,622764,vairagarnilesh,Entertainment,Fun-Content,Ahmednagar
48391,Vishal Shinde,613750,mkc_tech_,Tech,"Software & App: Tips, Hacks & Reviews",Ahmednagar
46787,Yash Chede,412782,iyassh_xo,Lifestyle & Living,Personal Vlogs,Ahmednagar
27279,Crazy Sangamneri Couple,215407,crazy_sangamneri_couple,Entertainment,Fun-Content,Ahmednagar
42599,Shama'sworld Channel,96110,shama_sworld,Lifestyle & Living,Product Reviews / Shopping,Ahmednagar
4244,Dimple M Upadhyay,32371,dimplicious22,Lifestyle & Living,Personal Vlogs,Ahmednagar
19062,Mayur Pardeshi,22456,thenameis_mayur,Entertainment,Film-making & Cinematography,Ahmednagar
21194,Ashpak Shaikh,12061,ashpak_shaikh_pvt_ltd,Lifestyle & Living,Personal Vlogs,Ahmednagar
46246,Pragya K,11890,prxgya_404,Lifestyle & Living,Personal Vlogs,Ahmednagar
40746,Jinuka Reang,11969,jinuka_reang,Beauty,Skin-Care,Agartala
46141,Deepshitha,10839,the_girl_vd_tatoos,Entertainment,Singing & Music Videos,Agartala
18165,Dipa Majumder,10124,its_shanta_moni,Lifestyle & Living,Personal Vlogs,Agartala
49300,Neha Bhowmik,8553,officialnehabhowmik,Lifestyle & Living,Personal Vlogs,Agartala
38528,Meenakshi Gangwar,122755,meenakshigangwar__,Lifestyle & Living,Personal Vlogs,Agra
43533,Vidhi Bajaj,110545,vidhibajaj005,Arts,Professional Dancing,Agra
21863,Himani Gupta,109231,8teen_wolf,Lifestyle & Living,Feel-Good News / Stories,Agra
42229,ᴠᴀʀᴜɴ ꜱɪɴɢʜ,105955,beingvarun83,Automotive,Bike Enthusiast,Agra
39464,Chandni Singh,104140,bling_bychandni,Travel & Places,City-focused Content,Agra
9892,Poorvi Jain,101681,instamommy_poorvi,"Family, Kids & Pets",Family / Couple Vlogs ,Agra
5492,Ajay Jeswani,98252,ajayjeswani88official,Fitness,Training & Fitness,Agra
45489,Lovey Yadav,88713,lovey_lavi_16,Entertainment,Fun-Content,Agra
32960,Happening In Agra,84409,happeningin.agra,Community Pages,City-focused Content,Agra
4789,Nikk,79418,naveenpathak902,Comedy & Memes,Funny Shorts,Agra
48313,Chetan Jaitpuria,79262,chetanjaitpuria,Arts,Film-making & Cinematography,Agra
45406,Sanz,75609,saniyadawar,Lifestyle & Living,Personal Vlogs,Agra
40416,Dr. Jyoti Sharma,62370,dr.sharmaaa,Lifestyle & Living,Personal Vlogs,Agra
652,Soniya And Pranav,60246,mommanpranav,Lifestyle & Living,Personal Vlogs,Agra
21348,Akshita Pathak,49877,prettiestshadow,Lifestyle & Living,Personal Vlogs,Agra
20126,Dimple Bhadauria,46402,_diimpi_,Beauty,Makeup & Cosmetics,Agra
46126,Pachauri Divu,46230,__divu_vats__13,Entertainment,Entertaining Dance Videos,Agra
1947,Somya Neeta,45371,raising_shiven92,Lifestyle & Living,Personal Vlogs,Agra
18870,Nitika Bhatnagar,44280,nitika_bhatnagar_,Lifestyle & Living,Personal Vlogs,Agra
46706,Prince Sikarwar,40371,princesikarwar43,Entertainment,Singing & Music Videos,Agra
43112,Aarohi,916539,iamaarohii,Arts,"Acting, Pro (TV / Series)",Ahmedabad
42504,Muskan Shaikh,877027,bebopunjabannn_,Entertainment,Fun-Content,Ahmedabad
13239,𝘬𝘩𝘶𝘴𝘩𝘪,840744,khushll,Beauty,Style & Grooming,Ahmedabad
50413,Mahi Patel,795382,mahipatel_official_,Entertainment,Fun-Content,Ahmedabad
11355,Jaymin Shah,744358,jayminshahofficial,Lifestyle & Living,Personal Vlogs,Ahmedabad
43253,Parthiv Patel,711790,parthiv9,Sports,Sports News & Coverage,Ahmedabad
28249,Khushbu Panchal,677213,khushbu_panchal_official,Arts,Music & Singing,Ahmedabad
48978,Kamya Kodwani,668429,mydecorworld1,Home & Decor,Interiors,Ahmedabad
32198,Kinjal Rajpriya,664890,kinjalrajpriya,Arts,"Acting, Pro (TV / Series)",Ahmedabad
32149,Rohan Joshi,639489,mojorojo,Entertainment,Fun-Content,Ahmedabad
11197,Pratik Panchal,617351,thepratikpanchal,Lifestyle & Living,Personal Vlogs,Ahmedabad
22381,Paresh Pahuja,552358,pareshpahuja,Arts,Music & Singing,Ahmedabad
24665,Ekta Makadia,546444,ekta_interior,Home & Decor,Interiors,Ahmedabad
