id,name,ig_followers,ig_handle,category,subcategory
9667,Voompla,18895183,voompla,Community Pages,Fan-Page: Movies & Movie-Celebs
10467,Viral Bhayani,13120598,viralbhayani,"News, Media & Magazines",Entertainment
32476,Rvcj Media,13019097,rvcjinsta,Comedy & Memes,Viral & Memes
32250,Naughtyworld,11317442,naughtyworld,Comedy & Memes,Viral & Memes
32839,Architectural Digest,10521062,archdigest,Community Pages,Art & Artist Community Page
48436,Filmy Active,9906012,filmyactive,Comedy & Memes,Viral & Memes
32480,Love Connection,4876617,love.connection_,Comedy & Memes,Viral & Memes
48489,Business | Share Market | Finance,4442701,businessman_habits,"News, Media & Magazines",Business & Finance
32253,Idiotic Memes Himanshu Singla,3812227,idiotic_sperm,Comedy & Memes,Viral & Memes
32928,Crictracker,3621590,crictracker,Community Pages,Fan-Page: Sports & Sports-Celebs
47487,Bollywood Society,3516225,bollywoodsocietyy,Community Pages,Fan-Page: Movies & Movie-Celebs
30797,Vogue India,3471608,vogueindia,,
48438,Filmy Zoo,3470314,filmyzoo,"News, Media & Magazines",Lifestyle & Culture
32307,Jeejaji,2908433,jeejaji,Comedy & Memes,Viral & Memes
38146,Filmymafia,2897920,filmymafia,"News, Media & Magazines",Lifestyle & Culture
48516,Business | Share Market Money,2844012,business_sharemarket_gyan,"News, Media & Magazines",Business & Finance
38150,Fact Tv Ninja,2724772,fact_tv_ninja,"News, Media & Magazines",Lifestyle & Culture
48473,The Comic Tale,2657830,thecomictale,Comedy & Memes,Viral & Memes
7992,𝐎𝐌𝐆 𝐆𝐀𝐃𝐆𝐄𝐓𝐒,2539982,omg_gadgetz,Comedy & Memes,Viral & Memes
30879,Circle Of Cricket,2459458,circleofcricket,Sports,Fan-Page: Sports & Sports Celebs
48464,Shayari & Quotes,693421,qaafirana.__,"News, Media & Magazines",Feel-Good News / Stories
44334,Indian Singing,675665,indian.singing1,Community Pages,Art & Artist Community Page
23332,Street Of Delhi,669863,streets.of.india,Community Pages,City-focused Content
38472,Akash Edits,668334,just_akash_edits_,"News, Media & Magazines",Entertainment
41979,Bhopal City Update,640673,bhopal_city_update,Community Pages,City-focused Content
32799,𝙌𝙪𝙚𝙚𝙣 𝙤𝙛 𝙬𝙤𝙧𝙙𝙨,632594,aafi_writes_,Comedy & Memes,Viral & Memes
20802,Beingsalmankhan,621045,salmanic_mun,Community Pages,Fan-Page: Movies & Movie-Celebs
32377,Parithabangal Fan Page,611773,parithabangal_vibes,Comedy & Memes,Viral & Memes
48514,Success Burner,602625,success.burner,,
43572,Watch Lol Reels,590432,watch_lol_reels,,
44404,I Love Gujarat,587120,ilovegujarat111,"News, Media & Magazines",Lifestyle & Culture
48955,Aditya Maurya,585695,awadhwalehai,Travel & Places,Street / People Photography
32841,Gq India,583351,gqindia,"News, Media & Magazines",Lifestyle & Culture
38158,Aakash,578796,lofii.editsz,Community Pages,Fan-Page: Movies & Movie-Celebs
46894,The Ad Network,563921,theadnetwork,Comedy & Memes,Viral & Memes
12241,Startup Pedia,560435,startup.pedia,"News, Media & Magazines",Business & Finance
38465,7.27_editzz,542652,7.27_editzz,Comedy & Memes,Viral & Memes
40098,Armwrestlers Of India,540575,armwrestlersofindia,Community Pages,Fan-Page: Sports & Sports-Celebs
32596,Screaming Diary,533830,nayabalfaaz,"News, Media & Magazines",Feel-Good News / Stories
30992,Humans Of Cinema,528609,humansofcinema,Entertainment,Movies / Series
6920,Scoopwhoop,2442696,scoopwhoop,Comedy & Memes,Viral & Memes
48492,Motivation | Relatable,2419299,motivation.thoughts_,"News, Media & Magazines",Feel-Good News / Stories
48491,Motivation | Attitude | Quotes,2403574,motivational.stars_,"News, Media & Magazines",Feel-Good News / Stories
8080,Scratched Stories,2320884,scratchedstories,"News, Media & Magazines",Feel-Good News / Stories
32492,Hritik Bathra Sarcasmic Feeds,2269714,sarcasmicfeeds,Comedy & Memes,Viral & Memes
32251,The Realshit Gyan,2258720,the.realshit.gyan,Comedy & Memes,Viral & Memes
48485,Sakht India,2218715,sakhtindia,,
48497,Motivation | Business | Quotes,2200393,attitude_.zone,Comedy & Memes,Viral & Memes
32513,Musiclovequotes,2052918,music.love.quotes,Comedy & Memes,Viral & Memes
48499,Motivational Shakti,1890060,motivational_shakti,"News, Media & Magazines",Feel-Good News / Stories
12349,Brand Empower,1881114,brandempower.in,Community Pages,Art & Artist Community Page
6969,Forbes India,1880855,forbesindia,"News, Media & Magazines",Lifestyle & Culture
38145,Sarcasmic Guy By Gaurav Kumar Goyal,1816899,sarcasmicguy,"News, Media & Magazines",Breaking News & Headlines
38484,90s Hits,1798589,90s.muzic,Community Pages,Art & Artist Community Page
32506,Superbakchodii,1777187,superbakchodii,Comedy & Memes,Viral & Memes
32252,Bakchod Billi,1713705,bcbilliofficial,Comedy & Memes,Viral & Memes
48498,Success,1671031,success.mentor__,,
11787,Laughing Colours,1663612,laughingcolours,Entertainment,Info-tainment
48460,Video Nation,1572452,videonation.teb,Comedy & Memes,Viral & Memes
48500,Success Life Tips,1545566,success_life_tips_55,,
40049,Unique Travel Explore,1007089,unique_travel_explore,Travel & Places,Backpacking & Biking
48506,Attitude & Motivation Line,1002024,attitude._.mind,Comedy & Memes,Viral & Memes
48507,Motivation,992769,lifetime_motivation,"News, Media & Magazines",Feel-Good News / Stories
32538,Wildcasm,962262,wildcasm,Comedy & Memes,Viral & Memes
32532,The Back Benchers,864730,thebackbenchrs,Comedy & Memes,Viral & Memes
32762,Lovecasmic,858076,lovecasmic,Comedy & Memes,Viral & Memes
46233,Subash S,814132,karaoketamil,Community Pages,Fan-Page: Movies & Movie-Celebs
32340,Gujarat News • Gujarat Updates • Gujarat,806829,antic.gujarati,"News, Media & Magazines",Lifestyle & Culture
42273,Deepak Kumar Singh,803403,i_am_deepaksir,"News, Media & Magazines",Sports News & Coverage
32877,Startup | Marketing,792267,marketing.growmatics,"News, Media & Magazines",Business & Finance
32550,My Friendship Life,792187,myfriendshiplife,Comedy & Memes,Viral & Memes
48510,Positive Thinking,778987,positive_think______,"News, Media & Magazines",Feel-Good News / Stories
32541,Log Kis Kisko Tokenge,777584,log.kis.kisko.tokenge,Comedy & Memes,Viral & Memes
32349,Priyanka Vijaytv,772610,priyankadeshpande_vijaytv,Community Pages,Fan-Page: Movies & Movie-Celebs
48508,Nikhil Bhardwaj,761297,grow_life_lesson,Comedy & Memes,Viral & Memes
32565,Pro Facts Official,752021,pro.facts,"News, Media & Magazines",Breaking News & Headlines
32542,The Comedi Villa,738142,thecomedivilla,Comedy & Memes,Viral & Memes
44712,Shabdalay,732306,shabdalay_,Arts,Creative Writing & Story-Telling
32558,Studentgyaan,708997,studentgyaan,Comedy & Memes,Viral & Memes
32834,Grazia India,698782,graziaindia,"News, Media & Magazines",Lifestyle & Culture
46785,Comedy Clips,523911,standup.only,Comedy & Memes,Standup Performer
40316,Shayri Gulzar Quotes,522198,shayri.in__,Arts,Creative Writing & Story-Telling
10605,Music & Sound,521139,musicandsoundofficial,"News, Media & Magazines",Entertainment
32584,Sarcasmiclol,516612,sarcasmiclol,Comedy & Memes,Viral & Memes
32832,Condé Nast Traveller India,511105,cntravellerindia,Community Pages,City-focused Content
38485,𝕽𝖊𝖊𝖑𝖘 𝖆𝖗𝖊 𝖊𝖒𝖔𝖙𝖎𝖔𝖓𝖘,504083,reelsareemotions,"News, Media & Magazines",Feel-Good News / Stories
32853,Aamchi Mumbai,503981,_aamchi_mumbai_,Community Pages,City-focused Content
11321,Akash Dadlani,500778,iacashdadlani,Community Pages,Fan-Page: Movies & Movie-Celebs
46321,Relatexgram,499500,relatexgram,"News, Media & Magazines",Feel-Good News / Stories
26305,Saurabh Khandagale,496819,knowledge_marathi,Entertainment,Info-tainment
32833,Cosmopolitan India,494090,cosmoindia,"News, Media & Magazines",Lifestyle & Culture
